Title,Artist,year,genre,description,coverImage,spotifyURL,appleUrl,BuyUrl,NinaProtocol,youtubeUrl,CustomLinks,EnableLocationBasedBuy,EnableDiscogsSearch
The Sewer Monsters EP,The Sewer Monsters,1993,Jungle,"First Release from dBridge alongside his brother Steve Spacek, GMC Blood and Frank",https://drive.google.com/file/d/1dJUeD4d8FuPFLiJZE2srB48FpvRYZTkc/view?usp=drive_link,,,,,,,TRUE,TRUE
Oh Gosh,Dubb Hustlers,1994,Jungle,First release under the name Dubb Hustlers alongside GMC Blood. This was made at Lennie De Ice Armshouse Studios ,https://drive.google.com/file/d/1MLhK3pygLccj48dpAmYwMYw_Zilo9id_/view?usp=drive_link,,,,,,,TRUE,TRUE
