title,artist,year,genre,description,coverImage,spotifyUrl,appleUrl,buyUrl,bandcampUrl,ninaProtocolUrl,youtubeUrl,primaryAudioSource,customLinksJson,enableLocationBasedBuy,enableDiscogsSearch
The Sewer Monsters EP,The Sewer Monsters,1993,Jungle,"First Release from dBridge alongside his brother Steve Spacek, GMC Blood and Frank",https://www.dropbox.com/scl/fi/papzyidyydzevzfrxla0a/The-Sewage-Monsters-2.jpg?rlkey=6z9zuczp8wn9zgaraxi5lrhv8&dl=1,,,,,,,youtube,,TRUE,TRUE
Oh Gosh,Dubb Hustlers,1994,Jungle,First release under the name Dubb Hustlers alongside GMC Blood. This was made at Lennie De Ice Armshouse Studios ,https://www.dropbox.com/scl/fi/zitk8jjvnshqsmdj59yic/Dubb-Hustlers-Oh-Gosh.jpg?rlkey=7xhzx30r68c31mq5gm83a19dy&dl=1,,,,,,,youtube,,TRUE,TRUE
